GDC_Aliquot_ID	Chromosome	Start	End	Num_Probes	Segment_Mean
TCGA-A8-A09C-01A-11D-A88Z-36	chr1	17001	270000	9	0.542586
TCGA-A8-A09C-01A-11D-A88Z-36	chr1	629001	771000	7	-7.012660
TCGA-A8-A09C-01A-11D-A88Z-36	chr1	777001	828000	43	0.304571
TCGA-A8-A09C-01A-11D-A88Z-36	chr1	828001	8238000	7195	-0.467310
TCGA-A8-A09C-01A-11D-A88Z-36	chr1	8238001	8472000	234	0.017775
TCGA-A8-A09C-01A-11D-A88Z-36	chr1	8472001	16602000	7682	-0.476720
TCGA-A8-A09C-01A-11D-A88Z-36	chr1	16602001	16949000	206	-0.392591
TCGA-A8-A09C-01A-11D-A88Z-36	chr1	16949001	17268000	317	-0.468367
TCGA-A8-A09C-01A-11D-A88Z-36	chr1	17268001	17293000	25	0.101409
TCGA-A8-A09C-01A-11D-A88Z-36	chr1	17293001	26604000	9185	-0.476855
TCGA-A8-A09C-01A-11D-A88Z-36	chr1	26604001	26744000	138	-1.245105
TCGA-A8-A09C-01A-11D-A88Z-36	chr1	26744001	35815000	9030	-0.475073
TCGA-A8-A09C-01A-11D-A88Z-36	chr1	35815001	35963000	148	-1.273457
TCGA-A8-A09C-01A-11D-A88Z-36	chr1	35963001	40881000	4884	-0.472929
TCGA-A8-A09C-01A-11D-A88Z-36	chr1	40881001	40915000	34	0.081819
TCGA-A8-A09C-01A-11D-A88Z-36	chr1	40915001	44555000	3625	-0.472110
TCGA-A8-A09C-01A-11D-A88Z-36	chr1	44555001	44751000	196	-1.235818
TCGA-A8-A09C-01A-11D-A88Z-36	chr1	44751001	46329000	1569	-0.469857
TCGA-A8-A09C-01A-11D-A88Z-36	chr1	46329001	47011000	669	-1.236955
TCGA-A8-A09C-01A-11D-A88Z-36	chr1	47011001	122742000	72491	-0.470135
TCGA-A8-A09C-01A-11D-A88Z-36	chr1	122756001	122890000	17	-1.959074
TCGA-A8-A09C-01A-11D-A88Z-36	chr1	122890001	124783000	276	-1.081227
TCGA-A8-A09C-01A-11D-A88Z-36	chr1	124802001	143539000	332	-0.438548
TCGA-A8-A09C-01A-11D-A88Z-36	chr1	143539001	143938000	236	0.245061
TCGA-A8-A09C-01A-11D-A88Z-36	chr1	144101001	149818000	2161	-0.438315
TCGA-A8-A09C-01A-11D-A88Z-36	chr1	149843001	150974000	1101	0.720636
TCGA-A8-A09C-01A-11D-A88Z-36	chr1	150974001	151368000	394	0.713955
TCGA-A8-A09C-01A-11D-A88Z-36	chr1	151368001	154948000	3514	0.718778
TCGA-A8-A09C-01A-11D-A88Z-36	chr1	154948001	155024000	76	0.739554
TCGA-A8-A09C-01A-11D-A88Z-36	chr1	155024001	162007000	6844	0.719375
TCGA-A8-A09C-01A-11D-A88Z-36	chr1	162007001	162033000	26	0.715093
TCGA-A8-A09C-01A-11D-A88Z-36	chr1	162033001	162312000	279	0.694775
TCGA-A8-A09C-01A-11D-A88Z-36	chr1	162313001	162331000	18	0.705638
TCGA-A8-A09C-01A-11D-A88Z-36	chr1	162331001	162965000	631	0.697995
TCGA-A8-A09C-01A-11D-A88Z-36	chr1	162965001	162989000	24	0.720055
